Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1101, C1201, C1301, C1401, C1501, C1601, C1701, C1801, C301, C401, C501, C601, C701, C801, C901",C_0603_HandSolder,16,10p,C1634
"C101, C104, C106, C109, C112, C114, C117, C118, C119, C120, C124, C125, C126, C127",C_0603_HandSolder,14,100n,C1591
"C102, C103, C107, C110, C111, C115, C122, C123",C_0805_HandSolder,8,10u,C15850
"C105, C108, C113, C116, C121",C_0805_HandSolder,5,2.2u,C377773
"J1, J2",PinHeader_1x40_P2.54mm_Vertical,2,Conn_01x40,
"R1001, R1102, R1202, R1302, R1402, R1502, R1602, R1702, R1802, R301, R401, R501, R601, R701, R801, R901",R_0603_HandSolder,16,120k,
"R1002, R1101, R1201, R1301, R1401, R1501, R1601, R1701, R1801, R302, R402, R502, R602, R702, R802, R902",R_0603_HandSolder,16,20k,
"R1003, R1103, R1203, R1303, R1403, R1503, R1603, R1703, R1803, R303, R403, R503, R603, R703, R803, R903",R_0603_HandSolder,16,1k,
R101,R_0603_HandSolder,1,10k,
R102,R_0603_HandSolder,1,7.5k,
"R103, R104",R_0603_HandSolder,2,33R,
"U1, U2",QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,2,AK4619VN,C3034747
U101,SOT-89-3,1,HT75xx-1-SOT89,
"U3, U4, U5, U6",TSSOP-14_4.4x5mm_P0.65mm,4,OPA1679,OPA1679
